region,lat,lon,geology
CentralRedSea,21.096002,39.066775,Continental
Chagos,-4.764585,72.504702,Oceanic
Christmas,-10.548543,105.560172,Oceanic
Chuuk,7.174537,151.717098,Oceanic
Cocos,-12.165643,96.951859,Oceanic
CoralBay,-23.524097,113.362011,Continental
Dumaguete,10.034203,122.104338,Continental
Farasans,17.068298,41.478233,Continental
Gascoyne,-20.023379,118.58713,Continental
Guam,13.345587,144.931155,Oceanic
Heron,-24.049558,152.201204,Continental
Heywood,-12.272821,123.394951,Oceanic
Iriomote,24.329328,124.373269,Oceanic
Kanton,-2.746698,-171.607598,Oceanic
Kavieng,-3.694601,151.617326,Continental
Lizard,-14.237567,145.424759,Continental
Mackay,-20.586244,151.368587,Continental
MHI,22.882884,-161.636429,Oceanic
Moorea,-17.218109,-150.529135,Oceanic
MTMNM,20.539723,145.027724,Oceanic
NewCaledonia,-21.931603,167.410581,Oceanic
Nikumaroro,-4.665066,-174.648987,Oceanic
NMI,17.29025,146.040849,Oceanic
Oahu,21.112612,-157.8428,Oceanic
Okinawa,26.431233,128.151959,Oceanic
Orona,-4.496272,-171.326664,Oceanic
Palau,7.336956,134.896625,Oceanic
Pohnpei,6.881046,158.01474,Oceanic
Pompey,-22.603091,151.242089,Continental
Rose,-14.566177,-168.06268,Oceanic
Rowley,-17.323016,119.126317,Oceanic
Saipan,15.02902,145.926726,Oceanic
Savaii,-13.717838,-172.697997,Oceanic
Scott,-13.982581,122.054051,Oceanic
SeyAm,-10.360406,56.687671,Oceanic
SeyGran,-4.471755,55.603935,Oceanic
Somalia,11.138053,46.466918,Continental
Tonga,-21.246127,-175.018235,Oceanic
Townsville,-18.912279,148.695055,Continental
Tutuila,-14.376574,-170.605761,Oceanic
Upolu,-14.065766,-171.6762,Oceanic
Yap,9.423398,138.284825,Oceanic
